Business Name,Address,City,State,ZIP,Phone,Website,Contact Name,Source,Subcontractor #,Expiration Date,Work Categories
CENTRAL ILLINOIS CONCRETE,19531 Hunt Rd,Petersburg,IL,62675,(217) 588-9869,,,IDOT Subcontractor List (Dec 2025),17989,03/20/2026,"Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Other; Pavement Patching; Sawing Cutting; Signing; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Tree Trimming and Selective Tree Removal"
"CENTRAL ILLINOIS EROSION SERVICES, INC.",1932 County Road 3000 N,RANTOUL,IL,61866,(217) 419-2900,,,IDOT Subcontractor List (Dec 2025),14881,07/11/2026,Concrete Construction; Demolition; Drainage; Earthwork; Fencing; Guardrail; Installation of Raised Pavement Markers; Landscaping; Other; Sawing Cutting; Seeding & Sodding
CENTRAL LANDSCAPING,12512 West Mendell Road,Princeville,IL,61559,(309) 385-4832,,,IDOT Subcontractor List (Dec 2025),10099,05/01/2026,Landscaping; Other; Seeding & Sodding; Vegetation Spraying
"CENTRAL LAWN SPRINKLERS, INC.",239 King Street,Elk Grove Village,IL,60007,(847) 364-6900,,,IDOT Subcontractor List (Dec 2025),10454,02/11/2026,Drainage; Landscaping; Other
CENTRAL SEWER AND WATER LLC,1195 State Hwy 32,Sullivan,IL,61951,217-620-1144,,,IDOT Subcontractor List (Dec 2025),18150,03/03/2026,Demolition; Drainage; Earthwork; Other; Seeding & Sodding; Tree Trimming and Selective Tree Removal
"CENTRAL TREE, LLC",14N705 US Highway 20,Pingree Grove,IL,60140,(847) 989-9048,,,IDOT Subcontractor List (Dec 2025),15523,02/11/2026,Demolition; Landscaping; Other; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal; Vegetation Spraying
CHRISTIAN CORNELIOUS GARDNER SOLE MBR,325 S. WHIPPLE STREET,CHICAGO,IL,60612,(708) 768-1850,,,IDOT Subcontractor List (Dec 2025),18284,03/31/2026,"Aggregate Bases and Surfaces; Concrete Construction; Drainage; Earthwork; Electrical; Erection; Fencing; Landscaping; Painting and Cleaning; Pavement Markings; Pavement Patching; Sawing Cutting; Signing; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Tree Trimming and Selective Tree Removal; Vegetation Spraying"
CHRISTY WEBBER & COMPANY,2900 W. Ferdinand St.,Chicago,IL,60612,(773) 533-0477,,,IDOT Subcontractor List (Dec 2025),10503,06/13/2026,Earthwork; Landscaping; Seeding & Sodding
"CJL LANDSCAPING, INC.",10902 West U. S. Highway 150,Brimfield,IL,61517,(309) 691-9200,,,IDOT Subcontractor List (Dec 2025),10252,12/02/2026,Landscaping; Other; Seeding & Sodding
"CLAUSS BROTHERS, INC.",12N330 SWITZER ROAD,ELGIN,IL,60124,(847) 488-0711,,,IDOT Subcontractor List (Dec 2025),15229,03/06/2026,Landscaping; Seeding & Sodding; Soil Stabilization and Modification
"COERS CUSTOM HARDWOODS, INC.",5016 290TH ST N,HILLSDALE,IL,61257,(309) 428-1758,,,IDOT Subcontractor List (Dec 2025),18362,06/30/2026,Sawing Cutting; Tree Trimming and Selective Tree Removal
CONIN CONTRACTOR SERVICES INC.,1800 Doc Wolf Dr PO Box 1022,Belvidere,IL,61008,(815) 596-0640,,,IDOT Subcontractor List (Dec 2025),14677,02/11/2026,Concrete Construction; Demolition; Earthwork; Landscaping; Seeding & Sodding; Tree Trimming and Selective Tree Removal
COOLING LAND CONCEPTS LLC,"4400 Wheeler Road, (81) 533-2380",Cherry Valley,IL,61016,,,,IDOT Subcontractor List (Dec 2025),10168,03/18/2026,Landscaping; Other; Seeding & Sodding
"CORDOVA CONSTRUCTION, INC",2424 N.Ellory Road,Peoria,IL,61615,(309) 208-3448,,,IDOT Subcontractor List (Dec 2025),12596,02/19/2026,Concrete Construction; Earthwork; Landscaping
COTHREN'S CUSTOM HARDSCAPES,5705 E. William Street Rd.,Decatur,IL,62521,(217) 520-8378,,,IDOT Subcontractor List (Dec 2025),15994,02/13/2026,Aggregate Bases and Surfaces; Drainage; Earthwork; Landscaping; Other; Seeding & Sodding; Tree Trimming and Selective Tree Removal
"COUNTY ASPHALT COMPANY, INC.",Po Box 17346,Urbana,IL,61803,217-841-1931,,,IDOT Subcontractor List (Dec 2025),14770,02/10/2026,Aggregate Bases and Surfaces; Concrete Construction; Cover and Seal Coats; Drainage; Earthwork; Installation of Raised Pavement Markers; Other; Pavement Markings; Pavement Patching; Sawing Cutting; Signing; Tree Trimming and Selective Tree Removal
"CPMH CONSTRUCTION, INC.",4049 S. Normal Ave,Chicago,IL,60609,312-929-2345,,,IDOT Subcontractor List (Dec 2025),16186,12/15/2026,"Aggregate Bases and Surfaces; Concrete Construction; Cover and Seal Coats; Demolition; Drainage; Earthwork; Fencing; Landscaping; Pavement Markings; Pavement Patching; Sawing Cutting; Seeding & Sodding; Signing; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Traffic Control"
CREST CONTRACTING LLC,12443 S. Melvina Ave,Palos Heights,IL,60463,(708) 372-2419,,,IDOT Subcontractor List (Dec 2025),17027,02/10/2026,"Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Fencing; Landscaping; Other; Painting and Cleaning; Sawing Cutting; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Traffic Control"
"CROWLEY TREE EXPERTS, INC. A SIEBERT AND SONS COMPANY",39411 N IL Rte 83,Lake Villa,IL,60046,(847) 338-1838,,,IDOT Subcontractor List (Dec 2025),18302,04/22/2026,Tree Trimming and Selective Tree Removal
"CSD ENVIRONMENTAL SERVICES, INC.",9979 Palm Road,Glenarm,IL,62536,(217) 522-4085,,,IDOT Subcontractor List (Dec 2025),12910,04/25/2026,"Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Fencing; Guardrail; Landscaping; Other; Pavement Patching; Sawing Cutting; Seeding & Sodding; Signing; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Traffic Control; Tree Trimming and Selective Tree Removal; Vegetation Spraying"
"DARDON CONSTRUCTION, INC.",3925 W Armitage Ave,HISPANIC,IL,60647,(866) 327-3661,,,IDOT Subcontractor List (Dec 2025),18233,03/04/2026,Concrete Construction; Electrical; Fencing; Landscaping; Other; Painting and Cleaning; Pavement Markings; Pavement Patching; Sawing Cutting
"DEL TORO LANDSCAPING, INC.",18N061 Galligan Road,Dundee,IL,60118,(847) 426-7200,,,IDOT Subcontractor List (Dec 2025),13854,02/11/2026,Earthwork; Landscaping; Seeding & Sodding; Tree Trimming and Selective Tree Removal
"DICKEY TRUCKING, LLC",629 North Main Street,Wayne City,IL,62895,(618) 895-4747,,,IDOT Subcontractor List (Dec 2025),15231,02/19/2026,Other; Seeding & Sodding
DIRTWORKS TRUCKING & EXCAVATING CO.,PO BOX 1024,Rantoul,IL,61866,217-377-4005,,,IDOT Subcontractor List (Dec 2025),16443,02/19/2026,"Cold Milling, Planing and Roto Milling; Demolition; Drainage; Earthwork; Other; Sawing Cutting; Tree Trimming and Selective Tree Removal"
DONATO ALBANESE,5257 S Parkside Ave,Chicago,IL,60638,(708) 603-0134,,,IDOT Subcontractor List (Dec 2025),18287,04/01/2026,Landscaping; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal
DONE RITE CONSTRUCTION CO. INC.,10277 IL RT 101,Littleton,IL,61452,(309) 331-4983,,,IDOT Subcontractor List (Dec 2025),11793,05/07/2026,Concrete Construction; Earthwork; Fencing; Landscaping; Other; Seeding & Sodding; Signing; Traffic Control
"DQC TRUCKING & EXCAVATING, LLC",1416 Double Eagle,Belleville,IL,62220,(618) 641-8834,,,IDOT Subcontractor List (Dec 2025),18341,06/02/2026,Concrete Construction; Pavement Patching; Tree Trimming and Selective Tree Removal
"DREAMSCAPES BY DENNIS, INC.",1114 Sterling Rd,Dixon,IL,61021,(815) 857-3281,,,IDOT Subcontractor List (Dec 2025),10296,02/20/2026,Earthwork; Landscaping; Seeding & Sodding
DURDEL & SONS,1726 N. Prichard Rd.,Peoria,IL,61615,(309) 676-4305,,,IDOT Subcontractor List (Dec 2025),10891,04/25/2026,Landscaping; Tree Trimming and Selective Tree Removal
"E & A EXCAVATING AND SERVICES, LLC",8393 Renken Rd,Worden,IL,62097-1605,(217) 320-8614,,,IDOT Subcontractor List (Dec 2025),18069,09/16/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Demolition; Drainage; Earthwork; Landscaping; Sawing Cutting; Seeding & Sodding; Tree Trimming and Selective Tree Removal; Vegetation Spraying"
E.L. PRUITT COMPANY,3090 Colt Road,Springfield,IL,62707,217-789-0966,,,IDOT Subcontractor List (Dec 2025),17648,09/23/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Landscaping; Signing
E.R. BAKEY INC.,180 S. Western Ave# 158,Carpentersville,IL,60110,(847) 464-5700,,,IDOT Subcontractor List (Dec 2025),15655,02/25/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Demolition; Drainage; Earthwork; Landscaping; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Traffic Control; Tree Trimming and Selective Tree Removal"
EARTH CARE UNLIMITED. INC.,3108 Panther Grove Road,Ashland,IL,62612,(217) 452-7370,,,IDOT Subcontractor List (Dec 2025),11692,03/03/2026,Earthwork; Landscaping; Other; Seeding & Sodding
"EARTHWORKS BY LAVICKA, INC.",2396 E. 900 NORTH ROAD,MILFORD,IL,60953,(815) 889-4347,,,IDOT Subcontractor List (Dec 2025),12587,03/18/2026,Earthwork; Fencing; Landscaping; Seeding & Sodding; Soil Stabilization and Modification
EFFINGHAM TREE SERVICE INC,513 S Race St,Teutopolis,IL,62467,(217) 821-3875,,,IDOT Subcontractor List (Dec 2025),18394,08/12/2026,Tree Trimming and Selective Tree Removal
ELEVATE EXCAVATING LLC,413 NW 1st St Casey IL,Casey,IL,62420,(217) 251-6687,,,IDOT Subcontractor List (Dec 2025),18276,03/24/2026,Aggregate Bases and Surfaces; Demolition; Drainage; Earthwork; Tree Trimming and Selective Tree Removal
EMINENCE RESOURCE INC.,2 n vine st,harrisburg,IL,62946,(618) 214-9301,,,IDOT Subcontractor List (Dec 2025),18159,02/10/2026,"Concrete Construction; Demolition; Earthwork; Fencing; Guardrail; Landscaping; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Steel, Reinforcement (Rebar Placement); Tree Trimming and Selective Tree Removal"
"ENTLER EXCAVATING, CO, INC",819 N Sunnyside Rd,Decatur,IL,62522,(217) 428-1865,,,IDOT Subcontractor List (Dec 2025),14266,02/11/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Demolition; Drainage; Earthwork; Fencing; Guardrail; Landscaping; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Traffic Control; Tree Trimming and Selective Tree Removal"
EZELL EXCAVATING INC,1574 Co Rd 100 N,VILLA GROVE,IL,61956,(217) 832-9066,,,IDOT Subcontractor List (Dec 2025),17640,02/27/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Demolition; Drainage; Earthwork; Seeding & Sodding; Tree Trimming and Selective Tree Removal"
F.ESPINOZA LANDSCAPING INC.,35 Burdent Dr.,Crystal Lake,IL,60014,(815) 477-8915,,,IDOT Subcontractor List (Dec 2025),15145,02/10/2026,Landscaping; Seeding & Sodding; Soil Stabilization and Modification
"FERGUSON CONTRACTING,LLC",11298 Cedar Grove Road,Marion,IL,62959,(618) 922-9739,,,IDOT Subcontractor List (Dec 2025),13933,02/12/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Demolition; Drainage; Earthwork; Seeding & Sodding; Soil Stabilization and Modification"
FIVE STAR HAULING INC,14210 S Kenton,Crestwood,IL,60418,(773) 671-3136,,,IDOT Subcontractor List (Dec 2025),15610,02/10/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Earthwork; Electrical; Landscaping; Other; Pavement Patching
"FOSS LANDSCAPES, INC.",1218 Shappert Dr.,Machesney Park,IL,61115,(815) 636-4748,,,IDOT Subcontractor List (Dec 2025),13217,11/25/2026,Landscaping; Other; Seeding & Sodding
FROESE ENTERPRISES,4621 Eyman Road,Belleville,IL,62223,(618) 779-9712,,,IDOT Subcontractor List (Dec 2025),18377,07/22/2026,Aggregate Bases and Surfaces; Concrete Construction; Cover and Seal Coats; Demolition; Drainage; Earthwork; Fencing; Guardrail; Installation of Raised Pavement Markers; Landscaping; Pavement Patching; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification
FULL CIRCLE CONSTRUCTION,"621 SOUTH CHICAGO AVE PO BOX 32, (815)766-1397",Freeport,IL,61032,,,,IDOT Subcontractor List (Dec 2025),17217,02/10/2026,Concrete Construction; Fencing; Landscaping; Other; Painting and Cleaning
GALLENTINE LLC,PO Box 578,Milledgeville,IL,61051,815-499-9202,,,IDOT Subcontractor List (Dec 2025),17721,04/24/2026,Earthwork; Landscaping; Seeding & Sodding
"GARDENSCAPE CONTRACTORS, INC.",104 Zumbahlen Ave,Dieterich,IL,62424,(217) 925-5945,,,IDOT Subcontractor List (Dec 2025),10962,12/04/2026,"Aggregate Bases and Surfaces; Cold Milling, Planing and Roto Milling; Concrete Construction; Drainage; Landscaping; Other; Pavement Patching; Sawing Cutting; Seeding & Sodding; Traffic Control"
GAYLOR EXCAVATING INC,5317 Hayden Lane,Ringwood,IL,60072,(815) 653-3444,,,IDOT Subcontractor List (Dec 2025),13380,02/19/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Earthwork; Fencing; Other; Pavement Patching; Sawing Cutting; Soil Stabilization and Modification; Traffic Control; Tree Trimming and Selective Tree Removal
"GEORGE GILDNER, INC.",2031 Ireland Grove Road,Bloomington,IL,61704,(309) 663-8458,,,IDOT Subcontractor List (Dec 2025),13162,02/10/2026,Concrete Construction; Drainage; Earthwork; Landscaping; Other; Pavement Patching
GETTY LAWN CARE INC *DBA GETTY LANDSCAPING INC,512 N CENTER ST,Colfax,IL,61728,(309) 275-8705,,,IDOT Subcontractor List (Dec 2025),18041,02/17/2026,Landscaping; Seeding & Sodding
GIZYNSKI CONSTRUCTION LLC,28324 w Arch Drive,Barrington,IL,60010,(773) 931-3123,,,IDOT Subcontractor List (Dec 2025),18010,06/04/2026,Concrete Construction; Demolition; Drainage; Earthwork; Erection; Guardrail; Landscaping; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal
"GLI SERVICES, INC.",1410 MILLS ROAD,JOLIET,IL,60433,(815) 774-0350,,,IDOT Subcontractor List (Dec 2025),13492,08/29/2026,Landscaping; Seeding & Sodding
"GOLDBAR EXCAVATING, LLC",8027 Gall Rd,Waterloo,IL,62298,217-255-2185,,,IDOT Subcontractor List (Dec 2025),18391,08/11/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Drainage; Earthwork; Fencing; Guardrail; Landscaping; Sawing Cutting; Seeding & Sodding; Soil Stabilization and Modification; Tree Trimming and Selective Tree Removal
GRADE RC LLC,684 Phelps Ave,Romeoville,IL,60446,(815) 931-9310,,,IDOT Subcontractor List (Dec 2025),14835,02/19/2026,Aggregate Bases and Surfaces; Concrete Construction; Demolition; Earthwork; Fencing; Landscaping; Pavement Patching; Sawing Cutting; Seeding & Sodding
